key,value
2_Nordland,1_North
5_Vestland,3_South
1_Troms og Finnmark,1_North
6_Rogaland og Agder,3_South
3_Trøndelag,2_Central
4_Møre og Romsdal,2_Central
7_Vestfold og Telemark,4_Others
7_Hedmark,4_Others
7_Viken,4_Others
7_Oslo,4_Others
7_Innlandet,4_Others
