name,category,value
Rapeseed and camelina oil,oil,322.58
Soy protein concentrate,protein,309.71
Wheat gluten,protein,146.27
Wheat,carbohydrates,144.61
Maize gluten,protein,57.97
Fababeans,protein,54.75
Other vegetable protein,protein,37.42
Pea protein concentrate,protein,21.94
Sunflowermeal,protein,18.55
Other plant carbohydrates,carbohydrates,15.71
Pea starch,carbohydrates,12.3
Sunflower protein,protein,8.69
Linseed oil,oil,5.63
